[21-Sep-2018 17:31:54 UTC] PHP Notice:  Undefined variable: valor in /home/ubuntu/workspace/inutilidades/classses/Formulario.php on line 8
[21-Sep-2018 17:38:19 UTC] PHP Notice:  Undefined variable: valor in /home/ubuntu/workspace/inutilidades/classses/Formulario.php on line 23
[21-Sep-2018 17:38:22 UTC] PHP Notice:  Undefined variable: valor in /home/ubuntu/workspace/inutilidades/classses/Formulario.php on line 23
[21-Sep-2018 17:38:30 UTC] PHP Notice:  Undefined variable: valor in /home/ubuntu/workspace/inutilidades/classses/Formulario.php on line 23
[21-Sep-2018 17:38:30 UTC] PHP Notice:  Undefined variable: valor in /home/ubuntu/workspace/inutilidades/classses/Formulario.php on line 23
[21-Sep-2018 17:38:31 UTC] PHP Notice:  Undefined variable: valor in /home/ubuntu/workspace/inutilidades/classses/Formulario.php on line 23
[21-Sep-2018 17:38:31 UTC] PHP Notice:  Undefined variable: valor in /home/ubuntu/workspace/inutilidades/classses/Formulario.php on line 23
[21-Sep-2018 17:40:12 UTC] PHP Notice:  Undefined variable: valor in /home/ubuntu/workspace/inutilidades/classses/Formulario.php on line 23
[21-Sep-2018 17:41:55 UTC] PHP Notice:  Undefined variable: nombre in /home/ubuntu/workspace/inutilidades/classses/Formulario.php on line 24
[22-Sep-2018 12:05:49 UTC] PHP Notice:  Undefined variable: select in /home/ubuntu/workspace/inutilidades/classses/Formulario.php on line 64
[22-Sep-2018 12:29:35 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/inutilidades/classses/Formulario.php on line 60
[25-Sep-2018 10:34:46 UTC] PHP Warning:  Invalid argument supplied for foreach() in /home/ubuntu/workspace/inutilidades/classses/pagina41.php on line 16
[02-Oct-2018 10:34:58 UTC] PHP Warning:  require(classses/Comun.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/inutilidades/classses/pagina7.php on line 2
[02-Oct-2018 10:34:58 UTC] PHP Fatal error:  require(): Failed opening required 'classses/Comun.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/inutilidades/classses/pagina7.php on line 2
[02-Oct-2018 10:35:59 UTC] PHP Warning:  require(classses/Comun.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/inutilidades/classses/pagina7.php on line 2
[02-Oct-2018 10:35:59 UTC] PHP Fatal error:  require(): Failed opening required 'classses/Comun.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/inutilidades/classses/pagina7.php on line 2
